订单ID,任务编号,用户ID,接单时间,完成时间,状态,淘宝订单号,旺旺号,关键词,商品名,师傅佣金,徒弟佣金,店铺名,商品价格,任务开始时间
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
287,60,1000000031,20180623-0152,0,任务超时,,zhg,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-0151
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-1559
287,60,1000000031,20180623-0152,0,任务超时,,zhg,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-0151
287,60,1000000031,20180623-0152,0,任务超时,,zhg,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-0151
284,59,1000000035,20180623-0046,20180623-0053,任务超时,123456,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-0045
284,59,1000000035,20180623-0046,20180623-0053,任务超时,123456,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-0045
284,59,1000000035,20180623-0046,20180623-0053,任务超时,123456,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,20180623-0045
279,54,1000000033,20180622-1653,0,任务超时,,吴冲,123,.............................,7,5,test5,69,20180622-1652
240,43,1000000033,20180621-2233,0,任务超时,,吴冲,12121,呃呃呃,2,0,test5,111,20180621-2230
281,56,1000000033,20180622-1657,0,任务超时,,吴冲,328,.............................,7,5,test5,69,20180622-1652
191,55,1000000012,20180614-2246,0,任务超时,,wangwang,短裤 男,短裤男夏季宽松运动裤个性棉麻五分裤男撞色条纹沙滩裤夏天大裤衩,3,2,uzx旗舰店,61,20180622-1652
279,54,1000000033,20180622-1653,0,任务超时,,吴冲,123,.............................,7,5,test5,69,20180622-1652
268,48,1000000033,20180622-0223,0,任务超时,,吴冲,zhg_kw2,zhg_good,5,2,test5,250,20180622-0055
268,48,1000000033,20180622-0223,0,任务超时,,吴冲,zhg_kw2,zhg_good,5,2,test5,250,20180622-0055
268,48,1000000033,20180622-0223,0,任务超时,,吴冲,zhg_kw2,zhg_good,5,2,test5,250,20180622-0055
268,48,1000000033,20180622-0223,0,任务超时,,吴冲,zhg_kw2,zhg_good,5,2,test5,250,20180622-0055
240,43,1000000033,20180621-2233,0,任务超时,,吴冲,12121,呃呃呃,2,0,test5,111,20180621-2230
184,38,1000000023,20180614-1754,0,任务超时,,吴冲,可以,衬衫,3,3,test14,2391,20180621-1157
268,48,1000000033,20180622-0223,0,任务超时,,吴冲,zhg_kw2,zhg_good,5,2,test5,250,20180622-0055
184,38,1000000023,20180614-1754,0,任务超时,,吴冲,可以,衬衫,3,3,test14,2391,20180621-1157
268,48,1000000033,20180622-0223,0,任务超时,,吴冲,zhg_kw2,zhg_good,5,2,test5,250,20180622-0055
