订单ID,任务编号,用户ID,接单时间,完成时间,状态,淘宝订单号,旺旺号,关键词,商品名,师傅佣金,徒弟佣金,店铺名,商品价格,任务开始时间
26101,76,1000000048,20180704-1924,00000000-0000,任务超时,,吴冲2018,zhg_kw2,zhg_good,2,0,zhg,13,20180703-2319
26100,76,1000000048,20180704-1848,00000000-0000,任务超时,,吴冲2018,zhg_kw,zhg_good,2,0,zhg,13,20180703-2319
26099,76,1000000047,20180704-1726,00000000-0000,任务超时,,1111,zhg_kw2,zhg_good,2,0,zhg,13,20180703-2319
26096,76,1000000046,20180704-1710,00000000-0000,任务超时,,zhg,zhg_kw2,zhg_good,2,0,zhg,13,20180703-2319
26094,76,1000000046,20180704-1622,00000000-0000,任务超时,,zhg,zhg_kw,zhg_good,2,0,zhg,13,20180703-2319
26093,76,1000000046,20180704-1615,00000000-0000,任务超时,,zhg,zhg_kw,zhg_good,2,0,zhg,13,20180703-2319
26092,76,1000000046,20180704-1615,00000000-0000,任务超时,,zhg,zhg_kw2,zhg_good,2,0,zhg,13,20180703-2319
26090,76,1000000046,20180704-1611,00000000-0000,任务超时,,zhg,zhg_kw,zhg_good,2,0,zhg,13,20180703-2319
26091,76,1000000046,20180704-1611,00000000-0000,任务超时,,zhg,zhg_kw2,zhg_good,2,0,zhg,13,20180703-2319
26048,76,1000000046,20180704-0029,00000000-0000,任务超时,,zhg,zhg_kw2,zhg_good,2,0,zhg,13,20180703-2319
26047,76,1000000046,20180704-0013,00000000-0000,任务超时,,zhg,zhg_kw2,zhg_good,2,0,zhg,13,20180703-2319
26046,76,1000000046,20180704-0012,00000000-0000,任务超时,,zhg,zhg_kw2,zhg_good,2,0,zhg,13,20180703-2319
26044,76,1000000046,20180704-0009,00000000-0000,任务超时,,zhg,zhg_kw,zhg_good,2,0,zhg,13,20180703-2319
11111,71,None,20180704-0002,00000000-0000,任务超时,,,zhg1,zhg,2,1,123,120,未知
26043,76,1000000046,20180704-0000,00000000-0000,任务超时,,zhg,zhg_kw,zhg_good,2,0,zhg,13,20180703-2319
26045,76,1000000046,20180704-0000,20180704-0015,任务超时,123,zhg,zhg_kw2,zhg_good,2,0,zhg,13,20180703-2319
289,61,1000000037,20180623-1559,0,任务超时,123456789,吴冲,男衬衫,韩版宽松男衬衫,5,0,123,50,未知
288,60,1000000034,20180623-1458,0,任务超时,,测试结果,男衬衫,韩版宽松男衬衫,5,0,123,50,未知
287,60,1000000031,20180623-0152,0,任务超时,,zhg,男衬衫,韩版宽松男衬衫,5,0,123,50,未知
286,59,1000000031,20180623-0141,0,任务超时,123,zhg,男衬衫,韩版宽松男衬衫,5,0,123,50,未知
